Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won
235,Maxim De Cuyper,DF,be Belgium,25,2000,4.9,1,0,0,7,2,0,12,6,2
236,Luc De Fougerolles,DF,ca Canada,20,2005,4.1,2,0,0,8,8,0,1,2,6
237,Charles De Ketelaere,FWMF,be Belgium,25,2001,3.9,0,0,0,2,3,2,3,5,4
238,Nicolás De La Cruz,MF,uy Uruguay,29,1997,1,1,0,0,2,3,0,5,2,1
239,Rodrigo De Paul,MF,ar Argentina,32,1994,5.5,1,0,0,2,5,1,14,6,4
240,Amar Dedi?,DF,ba Bosnia–Herz,23,2002,3,1,0,0,6,3,0,0,1,7
241,Louicius Deedson,MF,ht Haiti,25,2001,1.2,0,0,0,3,1,1,4,1,0
242,Hannes Delcroix,DF,ht Haiti,27,1999,3,0,0,0,1,2,0,0,4,3
243,Ousmane Dembélé,MF,fr France,29,1997,6.6,0,0,0,0,4,3,34,0,2
244,Merih Demiral,DF,tr Türkiye,28,1998,2,0,0,0,2,1,3,1,1,1
245,Ermedin Demirovi?,FW,ba Bosnia–Herz,28,1998,3.9,1,0,0,11,3,1,0,1,1
246,Sergiño Dest,MF,us USA,25,2000,3.3,0,0,0,2,4,0,3,5,1
247,Frans Dhia Putros,DF,iq Iraq,32,1993,1,0,0,0,2,0,0,1,2,2
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,0.3,0,0,0,0,0,0,1,0,1
249,Amad Diallo,MFFW,ci Côte d'Ivoire,23,2002,2.1,0,0,0,0,2,1,4,2,4
250,Assane Diao,MF,sn Senegal,20,2005,0.1,0,0,0,0,0,0,0,0,1
251,Habib Diarra,MF,sn Senegal,22,2004,1.6,0,0,0,2,2,0,1,1,2
252,Rúben Dias,DF,pt Portugal,29,1997,4,1,0,0,6,3,0,0,5,3
253,Krépin Diatta,DF,sn Senegal,27,1999,4.3,0,0,0,4,6,0,12,3,10
254,Mory Diaw,GK,sn Senegal,32,1993,2.6,0,0,0,0,2,0,0,0,0
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,0,0,3,10,0,8,4,2
256,Ismael Díaz,FWMF,pa Panama,29,1997,0.4,0,0,0,0,0,2,0,0,1
257,Luis Díaz,FWMF,co Colombia,29,1997,5.3,0,0,0,7,9,9,4,1,0
258,Bamba Dieng,FW,sn Senegal,26,2000,0.1,0,0,0,0,0,0,0,0,0
259,Lucas Digne,DF,fr France,32,1993,5.1,0,0,0,7,2,0,15,2,3
260,Diney,DF,cv Cabo Verde,31,1995,4.3,1,0,0,2,0,0,0,4,7
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1,0,0,0,0,0,0,0,1,0
262,Yan Diomandé,MFFW,ci Côte d'Ivoire,19,2006,3.7,0,0,0,2,7,0,14,4,6
263,Issa Diop,DF,ma Morocco,29,1997,5.3,3,0,0,4,1,0,0,7,1
264,El Hadji Malick Diouf,DF,sn Senegal,21,2004,1.9,0,0,0,2,0,0,8,1,1
265,Ritsu Doan,MF,jp Japan,27,1998,3.1,0,0,0,6,4,0,5,1,1
